Name;Value;Unit;;;Name_2;Value_2
P50_VC_Leaf;-3.5;Mpa;;;P50_VC_Leaf;-3.4
slope_VC_Leaf;60;%/Mpa;;;slope_VC_Leaf;60
EpsilonSymp_Leaf;10;Mpa;;;EpsilonSymp_Leaf;10
PiFullTurgor_Leaf;-2.1;Mpa;;;PiFullTurgor_Leaf;-2.1
ApoplasmicFrac_Leaf;0.25;-;;;ApoplasmicFrac_Leaf;0.4
P50_VC_Trunk;-3.5;Mpa;;;P50_VC_Trunk;-3.4
slope_VC_Trunk;60;%/Mpa;;;slope_VC_Trunk;60
PiFullTurgor_Trunk;-2.1;Mpa;;;PiFullTurgor_Trunk;-2.1
EpsilonSymp_Trunk;10;Mpa/%;;;EpsilonSymp_Trunk;10
ApoplasmicFrac_Trunk;0.4;-;;;ApoplasmicFrac_Trunk;0.4
SymplasmicFrac_Trunk;0.2;-;;;SymplasmicFrac_Trunk;0.2
LDMC;500;fraction;;;LDMC;570
Succulence;100;g/m2;;;;
LMA;100;g/m2;;;LMA;106
kPlantInit;0.62;mmol/m2/s/Mpa;;;kPlantInit;0.62
k_TSymInit;0.84;mmol/m2/s/Mpa;;;k_TSymInit;0.26
VolumeLiving_TRB;39.87;(mm or sapwood litre/m2 of soil);;;
fRootToLeaf;1;-;;;fRootToLeaf;1
rootRadius;0.0002;m;;;rootRadius;0.0002
betaRootProfile;0.97;-;;;betaRootProfile;0.97
C_LApoInit; 0.00001;mmol/m2 leaf/Mpa;;;C_LApoInit;1,00E-05
C_TApoInit; 0.00002;mmol/m2 leaf/Mpa;;;C_TApoInit;2,00E-05
gCrown0;45;mmol/m2/s;;;gCrown0;45
gsMax;200;mmol/m2/s;;;gsMax;200
gsNight;20;mmol/m2/s;;;gsNight;20
JarvisPAR;0.006;-;;;JarvisPAR;0.006
Tgs_sens;17;-;;;Tgs_sens;17
Tgs_optim;25;-;;;Tgs_optim;25
P12_gs;-2.07;Mpa;;;P12_gs;-2.07
P88_gs;-2.62;Mpa;;;P88_gs;-2.62
turgorPressureAtGsMax;1;Mpa;;;turgorPressureAtGsMax;2
gmin20;4;mmol/m2/s;;;gmin20;4
TPhase_gmin;42;?C;;;TPhase_gmin;37.5
Q10_1_gmin;1.2;mmol/m2/s /10?C;;;Q10_1_gmin;1.2
Q10_2_gmin;4.8;mmol/m2/s /10?C;;;Q10_2_gmin;4.8
fTRBToLeaf;0.8;m2 wood exposed/m2leaf;;;fTRBToLeaf;0.8
gmin_T;3;mmol/m2/s;;;gmin_T;3
Foliage;Evergreen;-;;;Foliage;Evergreen
DayStart;55;doy;;;Fcrit;450
Tbase;3;?C;;;Tbase;3
Fcrit;450;?C;;;DayStart;55
nbdayLAI;21;;;;nbdayLAI;21
PTcoeff;1.14;-;;;PTcoeff;1.14
CanopyStorageParam;1.5;mm/m2 leaf;;;CanopyStorageParam;1.5
K;0.5;-;;;K;0.5